id,product_id,farmer_id,buyer_id,created_at,price,quantity
1,14,3806,1,01/11/2016,172,30.37
2,1,7727,6,01/11/2016,171,121.88
3,1,1571,2,01/12/2016,167,119.44
4,1,3873,7,01/12/2016,125,171.36
5,14,6552,2,01/12/2016,182,165
6,4,7628,6,01/12/2016,151,28.18
7,14,4006,7,01/13/2016,172,27.6
8,19,5616,3,01/13/2016,389,140.6
9,8,1515,5,01/13/2016,123,31.21
10,7,287,4,01/14/2016,156,263.04
11,11,2415,4,01/14/2016,143,246.4
12,18,5744,6,01/14/2016,230,193.02
13,20,3604,6,01/14/2016,325,58.92
14,8,600,1,01/14/2016,145,120.28
15,12,855,2,01/14/2016,121,141.25
16,14,5834,1,01/14/2016,170,261.68
17,15,1914,8,01/14/2016,183,98.88
18,21,5168,4,01/14/2016,360,260.08
19,13,4236,1,01/14/2016,163,231.52
20,7,6392,4,01/14/2016,129,57.3
21,22,620,8,01/15/2016,239,60.4
22,8,3398,3,01/15/2016,139,96.75
23,21,1928,6,01/15/2016,376,130.4
24,18,3997,5,01/15/2016,210,89.37
25,11,4484,7,01/15/2016,190,237.6
26,19,2681,3,01/16/2016,409,30.76
27,1,2523,7,01/16/2016,162,83.49
28,6,2409,8,01/16/2016,204,174.6
29,20,929,3,01/16/2016,369,63.26
30,18,4372,1,01/16/2016,186,191.94
31,7,4644,2,01/16/2016,171,62.98
32,2,2608,5,01/17/2016,89,147.15
33,1,4608,3,01/17/2016,178,245.52
34,4,4138,6,01/17/2016,175,182.22
35,4,523,3,01/17/2016,103,59.94
36,21,518,3,01/17/2016,371,149.95
37,13,1539,3,01/18/2016,152,85.14
38,1,4788,1,01/18/2016,147,30.01
39,20,515,8,01/18/2016,348,135.4
40,16,342,6,01/18/2016,155,164.85
41,11,1219,7,01/18/2016,202,28.39
42,3,988,5,01/18/2016,132,219.44
43,15,7035,5,01/18/2016,190,98.07
44,5,7075,8,01/19/2016,239,28.1
45,11,4039,7,01/19/2016,183,56.58
46,2,3918,4,01/19/2016,97,168
47,13,4348,6,01/20/2016,161,82.77
48,19,757,1,01/20/2016,382,176.94
49,16,5260,1,01/20/2016,212,27.01
50,5,1953,3,01/20/2016,206,90.93
51,10,5443,2,01/21/2016,114,263.68
52,4,661,7,01/21/2016,171,63.68
53,19,319,3,01/22/2016,416,136.5
54,5,2279,2,01/22/2016,212,187.08
55,13,5709,7,01/22/2016,180,177.18
56,23,1655,5,01/22/2016,208,97.23
57,13,4429,1,01/22/2016,178,165
58,3,3368,7,01/22/2016,136,63.02
59,13,5041,4,01/22/2016,173,114.32
60,22,776,4,01/22/2016,231,65.02
61,22,1039,3,01/23/2016,227,147.45
62,18,5789,1,01/23/2016,195,88.2
63,1,418,6,01/23/2016,177,60.9
64,7,1258,5,01/24/2016,157,32.02
65,16,428,8,01/24/2016,190,118.24
66,17,2957,2,01/24/2016,196,30.86
67,5,1037,4,01/24/2016,288,245.84
68,16,2837,6,01/24/2016,190,137.5
69,3,1252,5,01/24/2016,170,94.89
70,7,1744,6,01/24/2016,132,230.32
71,20,1246,2,01/25/2016,395,156.55
72,15,2004,3,01/25/2016,189,152.35
73,3,948,1,01/25/2016,128,183.24
