id,zipcode,city,lat,long,insee_code
1,28000,CHARTRES,48.45,1.5,28085
2,28110,LUCé,48.433333,1.466667,28218
3,28130,BOUGLAINVAL,48.566667,1.5,28052
4,28130,CHARTAINVILLIERS,48.55,1.55,28084
5,28130,HANCHES,48.6,1.65,28191
6,28130,HOUX,48.566667,1.616667,28195
7,28130,MAINTENON,48.583333,1.583333,28227
8,28130,MéVOISINS,48.55,1.6,28249
9,28130,PIERRES,48.6,1.55,28298
10,28130,SAINT MARTIN DE NIGELLES,48.616667,1.616667,28352
11,28130,SAINT PIAT,48.55,1.583333,28357
12,28130,SOULAIRES,48.516667,1.583333,28379
13,28130,VILLIERS LE MORHIER,48.616667,1.566667,28417
14,28130,YERMENONVILLE,48.55,1.616667,28423
15,28190,BILLANCELLES,48.483333,1.216667,28040
16,28190,CHUISNES,48.45,1.216667,28099
17,28190,COURVILLE SUR EURE,48.45,1.25,28116
18,28190,DANGERS,48.516667,1.35,28128
19,28190,FONTAINE LA GUYON,48.466667,1.316667,28154
20,28190,FRUNCé,48.4,1.233333,28167
21,28190,LANDELLES,48.466667,1.2,28203
22,28190,LEFAVRIL,48.4523285,1.2163944,28148
23,28190,MITTAINVILLIERS,48.5,1.316667,28254
24,28190,ORROUER,48.416667,1.283333,28290
25,28190,PONTGOUIN,48.483333,1.166667,28302
26,28190,SAINT ARNOULT DES BOIS,48.483333,1.266667,28324
27,28190,SAINT GEORGES SUR EURE,48.416667,1.366667,28337
28,28190,SAINT GERMAIN LE GAILLARD,48.416667,1.266667,28339
29,28190,SAINT LUPERCE,48.433333,1.316667,28350
30,28190,VéRIGNY,48.516667,1.316667,28254
31,28190,VILLEBON,48.39159,1.2079089,28414
32,28230,DROUE SUR DROUETTE,48.6,1.7,28135
33,28230,EPERNON,48.616667,1.683333,28140
34,28300,BERCHèRES SAINT GERMAIN,48.539377,1.4704005,28034
35,28300,BRICONVILLE,48.533333,1.383333,28060
36,28300,CHALLET,48.55,1.433333,28068
37,28300,CHAMPHOL,48.466667,1.5,28070
38,28300,CLéVILLIERS,48.55,1.383333,28102
39,28300,COLTAINVILLE,48.483333,1.583333,28104
40,28300,FRESNAY LE GILMERT,48.516667,1.416667,28163
41,28300,GASVILLE OISèME,48.4731874,1.5596101,28173
42,28300,JOUY,48.516667,1.55,28201
43,28300,POISVILLIERS,48.5,1.466667,28301
44,28300,SAINT PREST,48.5,1.533333,28358
45,28300,AMILLY,48.45,1.4,28006
46,28300,BAILLEAU L'EVêQUE,48.483333,1.4,28022
47,28300,CINTRAY,48.45,1.366667,28100
48,28300,LèVES,48.466667,1.483333,28209
49,28300,MAINVILLIERS,48.45,1.466667,28229
50,28300,SAINT AUBIN DES BOIS,48.466667,1.366667,28325
51,28320,BAILLEAU ARMENONVILLE,48.5219415,1.6497911,28023
52,28320,ECROSNES,48.55,1.733333,28137
53,28320,GALLARDON,48.533333,1.7,28168
54,28320,GAS,48.566667,1.666667,28172
55,28320,YMERAY,48.516667,1.7,28425
56,28600,LUISANT,48.416667,1.483333,28220
57,28630,BARJOUVILLE,48.416667,1.483333,28024
58,28630,BERCHèRES LES PIERRES,48.383333,1.55,28035
59,28630,CORANCEZ,48.366667,1.516667,28107
60,28630,FONTENAY SUR EURE,48.4,1.416667,28158
61,28630,GELLAINVILLE,48.4,1.533333,28177
62,28630,LE COUDRAY,48.42095,1.499582,28110
63,28630,MIGNIèRES,48.366667,1.433333,28253
64,28630,MORANCEZ,48.4,1.5,28269
65,28630,NOGENT LE PHAYE,48.433333,1.583333,28278
66,28630,SOURS,48.416667,1.6,28380
67,28630,THIVARS,48.383333,1.466667,28388
68,28630,VER LèS CHARTRES,48.384458,1.477625,28403
69,28700,BLEURY,48.516667,1.75,28015
70,28700,SAINT SYMPHORIEN LE CHâTEAU,48.516677,1.75893,28361
71,28700,ARDELU,48.35,1.916667,28009
72,28700,AUNAY SOUS AUNEAU,48.433333,1.816667,28013
73,28700,AUNEAU,48.45,1.766667,28015
74,28700,BéVILLE LE COMTE,48.433333,1.716667,28039
75,28700,CHAMPSERU,48.491844,1.657074,28073
76,28700,CHâTENAY,48.358333,1.883333,28092
77,28700,DENONVILLE,48.383333,1.816667,28129
78,28700,FRANCOURVILLE,48.4,1.666667,28160
79,28700,GARANCIèRES EN BEAUCE,48.433333,1.916667,28169
80,28700,HOUVILLE LA BRANCHE,48.45,1.633333,28194
81,28700,LACHAPELLE D'AUNAINVILLE,48.424731,1.814087,28074
82,28700,LEGUé DE LONGROI,48.5,1.716667,28188
83,28700,LéTHUIN,48.366667,1.866667,28207
84,28700,LEVAINVILLE,48.5,1.733333,28208
85,28700,MAISONS,48.4,1.85,28230
86,28700,MOINVILLE LA JEULIN,48.383333,1.7,28255
87,28700,MONDONVILLE SAINT JEAN,48.366667,1.833333,28257
88,28700,MORAINVILLE,48.383333,1.833333,28268
89,28700,OINVILLE SOUS AUNEAU,48.466667,1.733333,28285
90,28700,ORLU,48.366667,1.916667,28183
91,28700,OYSONVILLE,48.4,1.95,28294
92,28700,ROINVILLE,48.45,1.75,28317
93,28700,SAINT LéGER DES AUBéES,48.416667,1.733333,28344
94,28700,SAINVILLE,48.416667,1.883333,28363
95,28700,SANTEUIL,48.383333,1.733333,28366
96,28700,UMPEAU,48.466667,1.683333,28397
97,28700,VIERVILLE,48.383333,1.916667,28408
98,28700,VOISE,48.4,1.716667,28421
99,28200,CHâTEAUDUN,48.083333,1.333333,28088
100,28200,CIVRY,48.083333,1.483333,28101
101,28200,CONIE MOLITARD,48.116667,1.45,28106
102,28200,DONNEMAIN SAINT MAMèS,48.1,1.366667,28132
103,28200,JALLANS,48.083333,1.383333,28198
104,28200,LA CHAPELLE DU NOYER,48.033333,1.316667,28075
105,28200,LANNERAY,48.083333,1.25,28205
106,28200,LOGRON,48.15,1.266667,28211
107,28200,LUTZ EN DUNOIS,48.05,1.416667,28224
108,28200,MARBOUé,48.116667,1.333333,28233
109,28200,MOLéANS,48.116667,1.383333,28256
110,28200,OZOIR LE BREUIL,48.016667,1.483333,28295
111,28200,SAINT CHRISTOPHE,48.133333,1.366667,28329
112,28200,SAINT CLOUD EN DUNOIS,48.040648,1.470426,28330
113,28200,SAINT DENIS LES PONTS,48.066667,1.3,28334
114,28200,THIVILLE,48.016667,1.383333,28389
115,28200,VILLAMPUY,48.033333,1.516667,28410
116,28220,AUTHEUIL,48,1.283333,28017
117,28220,BOISGASSON,48.048492,1.151217,28044
118,28220,CHARRAY,47.966667,1.333333,28083
119,28220,CLOYES SUR LE LOIR,48,1.233333,28103
120,28220,DOUY,48.033333,1.266667,28133
121,28220,LAFERTé VILLENEUIL,47.983333,1.35,28150
122,28220,LANGEY,48.05,1.183333,28204
123,28220,LEMéE,47.983333,1.416667,28241
124,28220,MONTIGNY LE GANNELON,48.016667,1.233333,28262
125,28220,ROMILLY SUR AIGRE,47.983333,1.283333,28318
126,28220,SAINT HILAIRE SUR YERRE,48.033333,1.25,28340
127,28290,CHAPELLE ROYALE,48.15,1.05,28079
128,28290,ARROU,48.1,1.116667,28012
129,28290,CHâTILLON EN DUNOIS,48.116667,1.183333,28093
130,28290,COURTALAIN,48.083333,1.15,28115
131,28290,SAINT PELLERIN,48.066667,1.15,28356
132,28800,ALLUYES,48.233333,1.366667,28005
133,28800,BONNEVAL,48.183333,1.4,28051
134,28800,BOUVILLE,48.266667,1.383333,28057
135,28800,BULLAINVILLE,48.166667,1.516667,28065
136,28800,DANCY,48.15,1.466667,28126
137,28800,FLACEY,48.15,1.35,28153
138,28800,LEGAULT SAINT DENIS,48.233333,1.483333,28176
139,28800,MONTBOISSIER,48.216667,1.4,28259
140,28800,MONTHARVILLE,48.183333,1.333333,28260
141,28800,MORIERS,48.216667,1.433333,28270
